Vacancy	0
for	0
Sr . Developer – IOS	DESIG
This	0
position	0
is	0
responsible	0
for	0
designing	0
","	0
writing	0
technical	0
specifications	0
","	0
coding	0
and	0
supporting	0
moderately	0
complex	0
software	0
programming	0
applications	0
Develops	0
","	0
modifies	0
","	0
and	0
maintains	0
applications	0
that	0
may	0
be	0
customized	0
or	0
standardized	0
.	0
Participates	0
in	0
design	0
","	0
and	0
coding	0
activities	0
with	0
other	0
staff	0
members	0
.	0
Essential	0
Functions	0
:	0
Responsible	0
for	0
analysis	0
","	0
design	0
","	0
and	0
development	0
in	0
enterprise	0
Java	0
.	0
Read	0
and	0
write	0
technical	0
documents	0
and	0
specs	0
.	0
Solid	0
analytical	0
and	0
development	0
skills	0
.	0
Demonstrated	0
aptitude	0
for	0
learning	0
new	0
technologies	0
.	0
Strong	0
communication	0
skills	0
(	0
verbal	0
and	0
written	0
)	0
.	0
Experience	0
and	0
ability	0
to	0
work	0
in	0
a	0
constantly	0
changing	0
","	0
fast	0
paced	0
","	0
deadline	0
driven	0
environment	0
Ability	0
to	0
effectively	0
communicate	0
technical	0
concepts	0
to	0
other	0
technical	0
staff	0
members	0
.	0
Ability	0
to	0
interface	0
well	0
with	0
Professional	0
Service	0
staff	0
and	0
other	0
non	0
-	0
technical	0
members	0
of	0
the	0
organization	0
.	0
Experience	0
:	0
3 + years ’ experience in SOAP and Rest services	EXP
.	0
5 - 6 years of hands - on experience with iPhone / iPad application development	EXP
using	0
Objective	0
-	0
C	0
and	0
Xcode	0
with	0
successful	0
applications	0
released	0
to	0
the	0
App	0
Store	0
Strong	0
understanding	0
of	0
Object	0
-	0
oriented	0
programming	0
concepts	0
Experience	0
and	0
knowledge	0
of	0
UIKit	0
Proficiency	0
with	0
REST	0
based	0
APIs	0
and	0
Web	0
Services	0
Strong	0
experience	0
with	0
XML	0
","	0
JSON	0
","	0
JavaScript	0
/	0
jQuery	0
","	0
HTML	0
/	0
CSS	0
One	0
or	0
more	0
apps	0
published	0
in	0
the	0
AppStore	0
(	0
please	0
provide	0
a	0
link	0
to	0
same	0
in	0
your	0
resume	0
)	0
Excellent	0
understanding	0
of	0
optimization	0
and	0
performance	0
issues	0
across	0
iOS	0
software	0
layers	0
Experience	0
with	0
current	0
web	0
technologies	0
(	0
e	0
.	0
g	0
.	0
HTML5	0
)	0
and	0
O	0
/	0
S	0
(	0
e	0
.	0
g	0
.	0
Linux	0
","	0
Windows	0
","	0
and	0
Mac	0
OSX	0
)	0
for	0
mobile	0
application	0
development	0
Excellent	0
planning	0
and	0
organization	0
skills	0
with	0
attention	0
to	0
detail	0
and	0
ability	0
to	0
multi	0
-	0
task	0
Good	0
understanding	0
of	0
user	0
interface	0
Required	0
Skills	0
:	0
IOS	0
SDK	0
","	0
C	0
/	0
C	0
+	0
+	0
","	0
JAVA	0
","	0
Objective	0
-	0
C	0
","	0
Xcode	0
","	0
Oracle	0
/	0
SQL	0
Server	0
SOAP	0
","	0
REST	0
","	0
HTML	0
5	0
.	0
0	0
","	0
JQuery	0
.	0
Experience	0
:	0
5 + Years	EXP
Education	0
:	0
Bachler ’s / Master ' s degree in Computer Science	DEG
or	0
related	0
field	0
preferred	0
	
Job	0
Overview	0
of	0
iOS developer	DESIG
An	0
iOS developer	DESIG
is	0
much	0
more	0
than	0
an	0
app	0
programmer	0
—	0
they’re	0
integral	0
at	0
every	0
phase	0
of	0
","	0
from	0
wireframing	0
the	0
screens	0
of	0
your	0
app	0
and	0
software	0
planning	0
through	0
to	0
user	0
interface	0
(	0
UI	0
)	0
design	0
","	0
coding	0
and	0
integrations	0
","	0
and	0
testing	0
and	0
submission	0
to	0
the	0
App	0
Store	0
.	0
An	0
iOS developer	DESIG
will	0
take	0
specifications	0
for	0
your	0
mobile	0
app	0
project	0
and	0
create	0
a	0
functioning	0
","	0
user	0
-	0
ready	0
iOS	0
application	0
.	0
Well	0
-	0
rounded	0
iOS	0
developers	0
have	0
experience	0
with	0
both	0
design	0
aspects	0
","	0
like	0
UI	0
and	0
UX	0
design	0
","	0
and	0
actual	0
programming	0
like	0
Swift	0
.	0
iOS developer	DESIG
skills	0
are	0
separated	0
into	0
three	0
levels	0
","	0
usually	0
depending	0
on	0
their	0
experience	0
and	0
the	0
complexity	0
of	0
the	0
apps	0
they	0
’ve	0
built	0
.	0
Developers	0
start	0
at	0
the	0
junior	0
phase	0
for	0
the	0
first	0
few	0
years	0
","	0
although	0
the	0
number	0
of	0
apps	0
they	0
’ve	0
developed	0
and	0
the	0
apps	0
’	0
complexity	0
are	0
far	0
more	0
important	0
when	0
you	0
determine	0
the	0
right	0
developer	0
for	0
your	0
project	0
.	0
After	0
working	0
on	0
more	0
complex	0
projects	0
and	0
alongside	0
more	0
experienced	0
developers	0
","	0
they	0
move	0
to	0
an	0
intermediate	0
phase	0
where	0
they	0
can	0
work	0
on	0
more	0
projects	0
independently	0
.	0
A	0
more	0
experienced	0
developer	0
","	0
which	0
we	0
’ll	0
call	0
a	0
“	0
senior	0
developer	0
”	0
","	0
can	0
not	0
only	0
design	0
and	0
code	0
an	0
app	0
","	0
but	0
they	0
can	0
also	0
handle	0
testing	0
","	0
mobile	0
security	0
","	0
and	0
API	0
integrations	0
.	0
As	0
far	0
as	0
skills	0
in	0
iOS	0
development	0
","	0
look	0
for	0
tools	0
and	0
technologies	0
like	0
:	0
Objective	0
-	0
C	0
","	0
or	0
increasingly	0
","	0
the	0
Swift	0
3	0
.	0
0	0
programming	0
language	0
Apple	0
’s	0
Xcode	0
IDE	0
Frameworks	0
and	0
APIs	0
like	0
Foundation	0
","	0
UIKit	0
","	0
and	0
CocoaTouch	0
UI	0
and	0
UX	0
design	0
experience	0
Apple	0
Human	0
Interface	0
Guidelines	0
2D	0
and	0
3D	0
graphics	0
frameworks	0
like	0
s	0
Familiarity	0
with	0
iOS	0
10	0
and	0
newer	0
OS	0
versions	0
A	0
Git	0
code	0
repository	0
	
iOS Developer	DESIG
Job	0
Description	0
We	0
are	0
looking	0
to	0
hire	0
a	0
talented	0
iOS Developer	DESIG
to	0
design	0
","	0
build	0
","	0
and	0
maintain	0
the	0
next	0
generation	0
of	0
iOS	0
applications	0
.	0
Your	0
primary	0
focus	0
will	0
be	0
developing	0
high	0
-	0
end	0
iOS	0
applications	0
for	0
the	0
latest	0
Apple	ORG
mobile	0
devices	0
.	0
Your	0
duties	0
may	0
include	0
collaborating	0
with	0
the	0
design	0
team	0
for	0
new	0
application	0
features	0
","	0
identifying	0
and	0
fixing	0
application	0
bottlenecks	0
","	0
maintaining	0
the	0
core	0
code	0
","	0
and	0
updating	0
applications	0
published	0
on	0
the	0
App	0
Store	0
.	0
To	0
ensure	0
success	0
as	0
an	0
iOS Developer	DESIG
","	0
you	0
should	0
have	0
a	0
strong	0
working	0
knowledge	0
of	0
iOS	0
Frameworks	0
","	0
be	0
proficient	0
in	0
Objective	0
-	0
C	0
","	0
and	0
be	0
able	0
to	0
work	0
as	0
part	0
of	0
a	0
team	0
.	0
Ultimately	0
","	0
an	0
outstanding	0
iOS Developer	DESIG
should	0
be	0
able	0
to	0
create	0
functional	0
","	0
attractive	0
applications	0
that	0
perfectly	0
meet	0
the	0
needs	0
of	0
the	0
user	0
.	0
iOS Developer	DESIG
Responsibilities	0
:	0
Designing	0
and	0
building	0
mobile	0
applications	0
for	0
Apple	ORG
’s	0
iOS	0
platform	0
.	0
Collaborating	0
with	0
the	0
design	0
team	0
to	0
define	0
app	0
features	0
.	0
Ensuring	0
quality	0
and	0
performance	0
of	0
application	0
to	0
specifications	0
.	0
Identifying	0
potential	0
problems	0
and	0
resolving	0
application	0
bottlenecks	0
.	0
Fixing	0
application	0
bugs	0
before	0
final	0
release	0
.	0
Publishing	0
application	0
on	0
App	0
Store	0
.	0
Maintaining	0
the	0
code	0
and	0
atomization	0
of	0
the	0
application	0
